mode,N,radius,cellSize,steps,ms_total,ms_per_step
grid,100,50,40,200,25.9543,0.129771
grid,200,50,40,200,66.969,0.334845
grid,400,50,40,200,167.083,0.835416
grid,800,50,40,200,441.771,2.20886
grid,1200,50,40,200,807.217,4.03609
naive,100,50,40,60,11.6558,0.194264
naive,200,50,40,60,42.0999,0.701665
naive,400,50,40,60,170.568,2.8428
naive,800,50,40,60,619.535,10.3256
grid,500,10,40,200,85.2159,0.42608
grid,500,20,40,200,110.895,0.554475
grid,500,40,40,200,161.407,0.807036
grid,500,60,40,200,299.917,1.49958
grid,500,80,40,200,369.363,1.84681
grid,500,100,40,200,538.752,2.69376
grid,500,140,40,200,1149.28,5.74641
grid,500,180,40,200,1209.66,6.04829
naive,500,10,40,25,100.139,4.00556
naive,500,20,40,25,119.943,4.79772
naive,500,40,40,25,117.339,4.69354
naive,500,60,40,25,124.94,4.99761
naive,500,80,40,25,137.598,5.50393
naive,500,100,40,25,157.34,6.29359
